price_per_kg,name,price,weight
594.5945945945946,Императорский,11000,18.5
715.3488372093024,Шок,769,1.075
824.1758241758241,Легенда,6000,7.28
854.2857142857143,Гриль сет,299,0.35
910.4477611940298,Милан,610,0.67
915.4761904761905,Хит 2.0,769,0.84
942.8571428571429,Биг сет,1320,1.4
1016.6666666666666,От заката до рассвета,610,0.6
1042.5531914893618,Бойцовая рыбка,490,0.47
1084.6153846153848,Ла-ла-лэнд,1269,1.17
1099.090909090909,Гранд,1209,1.1
1157.3684210526317,Корпоративный,2199,1.9
1174.1258741258741,Мадагаскар,1679,1.43
1352.3076923076922,Темпура голд,879,0.65
1427.142857142857,Терияки микс,999,0.7
2291.6666666666665,Филамания,1375,0.6
